#At time x process y state arr w total z remain y wait k
At time 48 process 5 resumed arr 19 total 9 remain 5 wait 25
At time 49 process 5 stopped arr 19 total 9 remain 4 wait 25
At time 49 process 6 resumed arr 24 total 23 remain 20 wait 22
At time 50 process 6 stopped arr 24 total 23 remain 19 wait 22
At time 50 process 2 resumed arr 11 total 29 remain 22 wait 32
At time 51 process 2 stopped arr 11 total 29 remain 21 wait 32
At time 51 process 8 resumed arr 31 total 23 remain 21 wait 18
At time 52 process 8 stopped arr 31 total 23 remain 20 wait 18
At time 52 process 7 resumed arr 25 total 17 remain 14 wait 24
At time 53 process 7 stopped arr 25 total 17 remain 13 wait 24
At time 53 process 3 resumed arr 11 total 26 remain 19 wait 35
At time 54 process 3 stopped arr 11 total 26 remain 18 wait 35
At time 54 process 4 resumed arr 14 total 8 remain 2 wait 34
At time 55 process 4 stopped arr 14 total 8 remain 1 wait 34
At time 55 process 5 resumed arr 19 total 9 remain 4 wait 31
At time 56 process 5 stopped arr 19 total 9 remain 3 wait 31
At time 56 process 6 resumed arr 24 total 23 remain 19 wait 28
At time 57 process 6 stopped arr 24 total 23 remain 18 wait 28
At time 57 process 2 resumed arr 11 total 29 remain 21 wait 38
At time 58 process 2 stopped arr 11 total 29 remain 20 wait 38
At time 58 process 8 resumed arr 31 total 23 remain 20 wait 24
At time 59 process 8 stopped arr 31 total 23 remain 19 wait 24
At time 59 process 7 resumed arr 25 total 17 remain 13 wait 30
At time 60 process 7 stopped arr 25 total 17 remain 12 wait 30
At time 60 process 3 resumed arr 11 total 26 remain 18 wait 41
At time 61 process 3 stopped arr 11 total 26 remain 17 wait 41
At time 61 process 4 resumed arr 14 total 8 remain 1 wait 40
At time 62 process 4 finished arr 14 total 8 remain 0 wait 40 TA 48 WTA 6.00
At time 62 process 5 resumed arr 19 total 9 remain 3 wait 37
At time 63 process 5 stopped arr 19 total 9 remain 2 wait 37
At time 63 process 6 resumed arr 24 total 23 remain 18 wait 34
At time 64 process 6 stopped arr 24 total 23 remain 17 wait 34
At time 64 process 2 resumed arr 11 total 29 remain 20 wait 44
At time 65 process 2 stopped arr 11 total 29 remain 19 wait 44
At time 65 process 8 resumed arr 31 total 23 remain 19 wait 30
At time 66 process 8 stopped arr 31 total 23 remain 18 wait 30
At time 66 process 7 resumed arr 25 total 17 remain 12 wait 36
At time 67 process 7 stopped arr 25 total 17 remain 11 wait 36
At time 67 process 3 resumed arr 11 total 26 remain 17 wait 47
At time 68 process 3 stopped arr 11 total 26 remain 16 wait 47
At time 68 process 5 resumed arr 19 total 9 remain 2 wait 42
At time 69 process 5 stopped arr 19 total 9 remain 1 wait 42
At time 69 process 6 resumed arr 24 total 23 remain 17 wait 39
At time 70 process 6 stopped arr 24 total 23 remain 16 wait 39
At time 70 process 2 resumed arr 11 total 29 remain 19 wait 49
At time 71 process 2 stopped arr 11 total 29 remain 18 wait 49
At time 71 process 8 resumed arr 31 total 23 remain 18 wait 35
At time 72 process 8 stopped arr 31 total 23 remain 17 wait 35
At time 72 process 7 resumed arr 25 total 17 remain 11 wait 41
At time 73 process 7 stopped arr 25 total 17 remain 10 wait 41
At time 73 process 3 resumed arr 11 total 26 remain 16 wait 52
At time 74 process 3 stopped arr 11 total 26 remain 15 wait 52
At time 74 process 5 resumed arr 19 total 9 remain 1 wait 47
At time 75 process 5 finished arr 19 total 9 remain 0 wait 47 TA 56 WTA 6.22
At time 75 process 6 resumed arr 24 total 23 remain 16 wait 44
At time 76 process 6 stopped arr 24 total 23 remain 15 wait 44
At time 76 process 2 resumed arr 11 total 29 remain 18 wait 54
At time 77 process 2 stopped arr 11 total 29 remain 17 wait 54
At time 77 process 8 resumed arr 31 total 23 remain 17 wait 40
At time 78 process 8 stopped arr 31 total 23 remain 16 wait 40
At time 78 process 7 resumed arr 25 total 17 remain 10 wait 46
At time 79 process 7 stopped arr 25 total 17 remain 9 wait 46
At time 79 process 3 resumed arr 11 total 26 remain 15 wait 57
At time 80 process 3 stopped arr 11 total 26 remain 14 wait 57
At time 80 process 6 resumed arr 24 total 23 remain 15 wait 48
At time 81 process 6 stopped arr 24 total 23 remain 14 wait 48
At time 81 process 2 resumed arr 11 total 29 remain 17 wait 58
At time 82 process 2 stopped arr 11 total 29 remain 16 wait 58
At time 82 process 8 resumed arr 31 total 23 remain 16 wait 44
At time 83 process 8 stopped arr 31 total 23 remain 15 wait 44
At time 83 process 7 resumed arr 25 total 17 remain 9 wait 50
At time 84 process 7 stopped arr 25 total 17 remain 8 wait 50
At time 84 process 3 resumed arr 11 total 26 remain 14 wait 61
At time 85 process 3 stopped arr 11 total 26 remain 13 wait 61
At time 85 process 6 resumed arr 24 total 23 remain 14 wait 52
At time 86 process 6 stopped arr 24 total 23 remain 13 wait 52
At time 86 process 2 resumed arr 11 total 29 remain 16 wait 62
At time 87 process 2 stopped arr 11 total 29 remain 15 wait 62
At time 87 process 8 resumed arr 31 total 23 remain 15 wait 48
At time 88 process 8 stopped arr 31 total 23 remain 14 wait 48
At time 88 process 7 resumed arr 25 total 17 remain 8 wait 54
At time 89 process 7 stopped arr 25 total 17 remain 7 wait 54
At time 89 process 3 resumed arr 11 total 26 remain 13 wait 65
At time 90 process 3 stopped arr 11 total 26 remain 12 wait 65
At time 90 process 6 resumed arr 24 total 23 remain 13 wait 56
At time 91 process 6 stopped arr 24 total 23 remain 12 wait 56
At time 91 process 2 resumed arr 11 total 29 remain 15 wait 66
At time 92 process 2 stopped arr 11 total 29 remain 14 wait 66
At time 92 process 8 resumed arr 31 total 23 remain 14 wait 52
At time 93 process 8 stopped arr 31 total 23 remain 13 wait 52
At time 93 process 7 resumed arr 25 total 17 remain 7 wait 58
At time 94 process 7 stopped arr 25 total 17 remain 6 wait 58
At time 94 process 3 resumed arr 11 total 26 remain 12 wait 69
At time 95 process 3 stopped arr 11 total 26 remain 11 wait 69
At time 95 process 6 resumed arr 24 total 23 remain 12 wait 60
At time 96 process 6 stopped arr 24 total 23 remain 11 wait 60
At time 96 process 2 resumed arr 11 total 29 remain 14 wait 70
At time 97 process 2 stopped arr 11 total 29 remain 13 wait 70
At time 97 process 8 resumed arr 31 total 23 remain 13 wait 56
At time 98 process 8 stopped arr 31 total 23 remain 12 wait 56
At time 98 process 7 resumed arr 25 total 17 remain 6 wait 62
At time 99 process 7 stopped arr 25 total 17 remain 5 wait 62
At time 99 process 3 resumed arr 11 total 26 remain 11 wait 73
At time 100 process 3 stopped arr 11 total 26 remain 10 wait 73
At time 100 process 6 resumed arr 24 total 23 remain 11 wait 64
At time 101 process 6 stopped arr 24 total 23 remain 10 wait 64
At time 101 process 2 resumed arr 11 total 29 remain 13 wait 74
At time 102 process 2 stopped arr 11 total 29 remain 12 wait 74
At time 102 process 8 resumed arr 31 total 23 remain 12 wait 60
At time 103 process 8 stopped arr 31 total 23 remain 11 wait 60
At time 103 process 7 resumed arr 25 total 17 remain 5 wait 66
At time 104 process 7 stopped arr 25 total 17 remain 4 wait 66
At time 104 process 3 resumed arr 11 total 26 remain 10 wait 77
At time 105 process 3 stopped arr 11 total 26 remain 9 wait 77
At time 105 process 6 resumed arr 24 total 23 remain 10 wait 68
At time 106 process 6 stopped arr 24 total 23 remain 9 wait 68
At time 106 process 2 resumed arr 11 total 29 remain 12 wait 78
At time 107 process 2 stopped arr 11 total 29 remain 11 wait 78
At time 107 process 8 resumed arr 31 total 23 remain 11 wait 64
At time 108 process 8 stopped arr 31 total 23 remain 10 wait 64
At time 108 process 7 resumed arr 25 total 17 remain 4 wait 70
At time 109 process 7 stopped arr 25 total 17 remain 3 wait 70
At time 109 process 3 resumed arr 11 total 26 remain 9 wait 81
At time 110 process 3 stopped arr 11 total 26 remain 8 wait 81
At time 110 process 6 resumed arr 24 total 23 remain 9 wait 72
At time 111 process 6 stopped arr 24 total 23 remain 8 wait 72
At time 111 process 2 resumed arr 11 total 29 remain 11 wait 82
At time 112 process 2 stopped arr 11 total 29 remain 10 wait 82
At time 112 process 8 resumed arr 31 total 23 remain 10 wait 68
At time 113 process 8 stopped arr 31 total 23 remain 9 wait 68
At time 113 process 7 resumed arr 25 total 17 remain 3 wait 74
At time 114 process 7 stopped arr 25 total 17 remain 2 wait 74
At time 114 process 3 resumed arr 11 total 26 remain 8 wait 85
At time 115 process 3 stopped arr 11 total 26 remain 7 wait 85
At time 115 process 6 resumed arr 24 total 23 remain 8 wait 76
At time 116 process 6 stopped arr 24 total 23 remain 7 wait 76
At time 116 process 2 resumed arr 11 total 29 remain 10 wait 86
At time 117 process 2 stopped arr 11 total 29 remain 9 wait 86
At time 117 process 8 resumed arr 31 total 23 remain 9 wait 72
At time 118 process 8 stopped arr 31 total 23 remain 8 wait 72
At time 118 process 7 resumed arr 25 total 17 remain 2 wait 78
At time 119 process 7 stopped arr 25 total 17 remain 1 wait 78
At time 119 process 3 resumed arr 11 total 26 remain 7 wait 89
At time 120 process 3 stopped arr 11 total 26 remain 6 wait 89
At time 120 process 6 resumed arr 24 total 23 remain 7 wait 80
At time 121 process 6 stopped arr 24 total 23 remain 6 wait 80
At time 121 process 2 resumed arr 11 total 29 remain 9 wait 90
At time 122 process 2 stopped arr 11 total 29 remain 8 wait 90
At time 122 process 8 resumed arr 31 total 23 remain 8 wait 76
At time 123 process 8 stopped arr 31 total 23 remain 7 wait 76
At time 123 process 7 resumed arr 25 total 17 remain 1 wait 82
At time 124 process 7 finished arr 25 total 17 remain 0 wait 82 TA 99 WTA 5.82
At time 124 process 3 resumed arr 11 total 26 remain 6 wait 93
At time 125 process 3 stopped arr 11 total 26 remain 5 wait 93
At time 125 process 6 resumed arr 24 total 23 remain 6 wait 84
At time 126 process 6 stopped arr 24 total 23 remain 5 wait 84
At time 126 process 2 resumed arr 11 total 29 remain 8 wait 94
At time 127 process 2 stopped arr 11 total 29 remain 7 wait 94
At time 127 process 8 resumed arr 31 total 23 remain 7 wait 80
At time 128 process 8 stopped arr 31 total 23 remain 6 wait 80
At time 128 process 3 resumed arr 11 total 26 remain 5 wait 96
At time 129 process 3 stopped arr 11 total 26 remain 4 wait 96
At time 129 process 6 resumed arr 24 total 23 remain 5 wait 87
At time 130 process 6 stopped arr 24 total 23 remain 4 wait 87
At time 130 process 2 resumed arr 11 total 29 remain 7 wait 97
At time 131 process 2 stopped arr 11 total 29 remain 6 wait 97
At time 131 process 8 resumed arr 31 total 23 remain 6 wait 83
At time 132 process 8 stopped arr 31 total 23 remain 5 wait 83
At time 132 process 3 resumed arr 11 total 26 remain 4 wait 99
At time 133 process 3 stopped arr 11 total 26 remain 3 wait 99
At time 133 process 6 resumed arr 24 total 23 remain 4 wait 90
At time 134 process 6 stopped arr 24 total 23 remain 3 wait 90
At time 134 process 2 resumed arr 11 total 29 remain 6 wait 100
At time 135 process 2 stopped arr 11 total 29 remain 5 wait 100
At time 135 process 8 resumed arr 31 total 23 remain 5 wait 86
At time 136 process 8 stopped arr 31 total 23 remain 4 wait 86
At time 136 process 3 resumed arr 11 total 26 remain 3 wait 102
At time 137 process 3 stopped arr 11 total 26 remain 2 wait 102
At time 137 process 6 resumed arr 24 total 23 remain 3 wait 93
At time 138 process 6 stopped arr 24 total 23 remain 2 wait 93
At time 138 process 2 resumed arr 11 total 29 remain 5 wait 103
At time 139 process 2 stopped arr 11 total 29 remain 4 wait 103
At time 139 process 8 resumed arr 31 total 23 remain 4 wait 89
At time 140 process 8 stopped arr 31 total 23 remain 3 wait 89
At time 140 process 3 resumed arr 11 total 26 remain 2 wait 105
At time 141 process 3 stopped arr 11 total 26 remain 1 wait 105
At time 141 process 6 resumed arr 24 total 23 remain 2 wait 96
At time 142 process 6 stopped arr 24 total 23 remain 1 wait 96
At time 142 process 2 resumed arr 11 total 29 remain 4 wait 106
At time 143 process 2 stopped arr 11 total 29 remain 3 wait 106
At time 143 process 8 resumed arr 31 total 23 remain 3 wait 92
At time 144 process 8 stopped arr 31 total 23 remain 2 wait 92
At time 144 process 3 resumed arr 11 total 26 remain 1 wait 108
At time 145 process 3 finished arr 11 total 26 remain 0 wait 108 TA 134 WTA 5.15
At time 145 process 6 resumed arr 24 total 23 remain 1 wait 99
At time 146 process 6 finished arr 24 total 23 remain 0 wait 99 TA 122 WTA 5.30
At time 146 process 2 resumed arr 11 total 29 remain 3 wait 109
At time 147 process 2 stopped arr 11 total 29 remain 2 wait 109
At time 147 process 8 resumed arr 31 total 23 remain 2 wait 95
At time 148 process 8 stopped arr 31 total 23 remain 1 wait 95
At time 148 process 2 resumed arr 11 total 29 remain 2 wait 110
At time 149 process 2 stopped arr 11 total 29 remain 1 wait 110
At time 149 process 8 resumed arr 31 total 23 remain 1 wait 96
At time 150 process 8 finished arr 31 total 23 remain 0 wait 96 TA 119 WTA 5.17
At time 150 process 2 resumed arr 11 total 29 remain 1 wait 111
At time 151 process 2 finished arr 11 total 29 remain 0 wait 111 TA 140 WTA 4.83
